Frame Number,Object,Confidence Score
1,person,0.6967247
1,person,0.6856343
1,person,0.6737238
1,person,0.6630235
1,person,0.61730933
1,person,0.5979419
1,person,0.57937735
1,person,0.574749
1,person,0.57167715
1,person,0.56043833
1,person,0.5395762
1,person,0.52018744
1,person,0.5086189
1,person,0.5026439
1,person,0.4902741
1,handbag,0.48679838
1,person,0.48628205
1,person,0.48364785
1,handbag,0.47707993
1,suitcase,0.47461063
1,person,0.46222752
1,person,0.4556096
1,person,0.4483127
1,person,0.44640097
1,person,0.44592425
1,person,0.44495824
1,person,0.44184908
1,person,0.43313587
1,person,0.43102127
1,person,0.4278196
1,person,0.42760503
1,person,0.42698961
1,backpack,0.41932124
1,person,0.41909122
1,backpack,0.4180983
1,person,0.416865
1,person,0.41627753
1,person,0.41061473
1,person,0.41047406
1,car,0.41002545
1,person,0.40979168
1,person,0.40883678
1,chair,0.40792066
1,person,0.40657574
1,person,0.40647686
1,person,0.4064639
1,person,0.40121895
1,chair,0.39147806
1,person,0.3903015
1,person,0.38886356
1,motorcycle,0.38833165
1,backpack,0.38470358
1,person,0.38282588
1,chair,0.37715387
1,chair,0.3753485
1,dining table,0.37506437
1,skateboard,0.37185046
1,backpack,0.36453873
1,person,0.36279148
1,handbag,0.36255005
1,person,0.36110494
1,person,0.3604278
1,chair,0.36024526
1,person,0.36019585
1,handbag,0.35642642
1,handbag,0.35276818
1,person,0.35190248
1,person,0.35123637
1,dining table,0.3495308
1,bicycle,0.3485565
1,person,0.3483174
1,person,0.3466097
1,person,0.34283713
1,handbag,0.33933356
1,person,0.33680063
1,person,0.3359909
1,person,0.33515394
1,handbag,0.33398402
1,handbag,0.3298903
1,backpack,0.32981008
1,backpack,0.32800007
1,backpack,0.3264416
1,backpack,0.32573494
1,person,0.32313922
1,person,0.322811
1,person,0.3225927
1,person,0.32216242
1,person,0.32208863
1,car,0.32094863
1,motorcycle,0.32056218
1,dining table,0.32028964
1,chair,0.3192047
1,dining table,0.3188782
1,person,0.31424153
1,person,0.31284988
1,dining table,0.31277636
1,chair,0.30952328
1,car,0.30898842
1,car,0.30879614
1,person,0.3074966
2,person,0.6861255
2,person,0.6828915
2,person,0.63577133
2,person,0.6216237
2,person,0.61075455
2,person,0.6063218
2,person,0.59761715
2,person,0.5969836
2,person,0.573606
2,person,0.5604542
2,person,0.55984503
2,person,0.5590021
2,person,0.5231235
2,person,0.50451934
2,person,0.50011575
2,person,0.49735963
2,person,0.48760825
2,person,0.48658308
2,car,0.48036888
2,person,0.48023388
2,person,0.47875217
2,person,0.4756466
2,handbag,0.47407812
2,chair,0.47230577
2,handbag,0.4667849
2,person,0.46643502
2,dining table,0.46114442
2,person,0.45288345
2,person,0.44924542
2,person,0.44565746
2,person,0.44423577
2,person,0.44423196
2,dining table,0.43808788
2,person,0.43290064
2,person,0.41724795
2,potted plant,0.41692665
2,person,0.41683942
2,backpack,0.41640484
2,person,0.4154128
2,backpack,0.41141585
2,handbag,0.40861017
2,person,0.40328723
2,person,0.4013112
2,person,0.39809668
2,person,0.3917841
2,chair,0.3895911
2,person,0.38790253
2,person,0.38246477
2,person,0.37943265
2,person,0.37818742
2,person,0.37673146
2,person,0.37664694
2,chair,0.37578553
2,person,0.3752964
2,person,0.37303454
2,person,0.37131307
2,dining table,0.37078252
2,chair,0.3663549
2,person,0.365303
2,skateboard,0.36396563
2,chair,0.3637785
2,clock,0.3625653
2,handbag,0.36114416
2,person,0.35986844
2,backpack,0.35703856
2,handbag,0.35590667
2,person,0.35564816
2,person,0.35536537
2,clock,0.35453355
2,traffic light,0.35322997
2,backpack,0.35310203
2,person,0.34763205
2,person,0.3445937
2,dining table,0.3400229
2,umbrella,0.33865076
2,chair,0.33863673
2,person,0.33823174
2,car,0.33730462
2,chair,0.3372963
2,dining table,0.33658847
2,car,0.3346341
2,suitcase,0.33431
2,person,0.33366987
2,bench,0.3325184
2,person,0.33234912
2,chair,0.33070952
2,traffic light,0.3290145
2,handbag,0.32849544
2,person,0.3275959
2,chair,0.32504192
2,person,0.3244801
2,suitcase,0.3242847
2,backpack,0.32293516
2,person,0.32224435
2,potted plant,0.32199246
2,person,0.3217752
2,umbrella,0.31886384
2,potted plant,0.31764603
2,chair,0.31676656
2,person,0.3149452
3,person,0.69791794
3,person,0.675248
3,person,0.63554287
3,person,0.6333174
3,person,0.6081292
3,person,0.6062093
3,person,0.59753263
3,person,0.5861944
3,person,0.56981504
3,person,0.5694083
3,person,0.56391656
3,person,0.55660594
3,person,0.5431777
3,person,0.5426909
3,person,0.5396318
3,person,0.51516736
3,handbag,0.51160914
3,handbag,0.50761044
3,person,0.47694853
3,person,0.47106054
3,person,0.469274
3,chair,0.4683959
3,person,0.46268198
3,dining table,0.4585155
3,person,0.458191
3,traffic light,0.45435283
3,person,0.45369023
3,chair,0.4442128
3,person,0.43968418
3,person,0.43929592
3,chair,0.43685958
3,handbag,0.43556333
3,chair,0.43268108
3,potted plant,0.42318198
3,chair,0.42224452
3,person,0.4217864
3,person,0.41899145
3,person,0.41887152
3,chair,0.4169875
3,person,0.4124146
3,person,0.41168284
3,person,0.41161385
3,person,0.4063335
3,chair,0.40630013
3,person,0.4053368
3,dining table,0.40515387
3,person,0.40282795
3,person,0.40101328
3,person,0.39675677
3,handbag,0.39016595
3,car,0.38976976
3,person,0.38903576
3,chair,0.3836442
3,chair,0.3812681
3,person,0.37959522
3,person,0.37469774
3,person,0.37463245
3,person,0.37391734
3,person,0.3734127
3,backpack,0.37268144
3,person,0.37180015
3,person,0.36747956
3,backpack,0.36250728
3,person,0.35702026
3,chair,0.35635123
3,chair,0.3553042
3,skateboard,0.35362887
3,person,0.3535649
3,potted plant,0.35317338
3,handbag,0.35315362
3,handbag,0.3527756
3,person,0.35273382
3,umbrella,0.35120517
3,clock,0.35072857
3,dining table,0.35069448
3,dining table,0.3464946
3,person,0.34540883
3,skateboard,0.3429821
3,person,0.3373925
3,backpack,0.33735514
3,potted plant,0.33513921
3,chair,0.33497775
3,backpack,0.33458668
3,person,0.33285397
3,person,0.3328367
3,person,0.33157513
3,handbag,0.3309773
3,clock,0.32631922
3,person,0.3250156
3,person,0.32499865
3,person,0.32438034
3,person,0.32162327
3,clock,0.32157722
3,person,0.32089683
3,handbag,0.3201626
3,person,0.3194988
3,person,0.3179904
3,skis,0.31697893
3,backpack,0.31627956
3,chair,0.31541634
4,person,0.7055406
4,person,0.6946615
4,person,0.6537127
4,person,0.6474998
4,person,0.6337225
4,person,0.6147025
4,person,0.5968712
4,person,0.5659553
4,person,0.5555861
4,person,0.5530874
4,person,0.54490995
4,person,0.52015525
4,person,0.5162331
4,handbag,0.50662845
4,person,0.49988747
4,person,0.49746102
4,person,0.49400282
