Frame Number,Object,Confidence Score
1,person,0.6589789
1,bear,0.6261341
1,elephant,0.5951969
1,horse,0.43749487
1,dog,0.40001896
1,car,0.35723794
1,person,0.31396517
1,elephant,0.26510334
1,person,0.2643066
1,car,0.25621793
1,cow,0.2476127
1,person,0.2457241
1,elephant,0.23566057
1,person,0.23391554
1,person,0.20615898
1,backpack,0.20482591
1,bench,0.20415097
1,bear,0.20212753
1,handbag,0.1920947
1,teddy bear,0.18704163
1,person,0.18567848
1,sheep,0.18404074
1,person,0.18166943
1,horse,0.18007681
1,car,0.17355357
1,elephant,0.17070737
1,person,0.16891809
1,bear,0.16783579
1,person,0.16722359
1,umbrella,0.16391863
1,person,0.15972123
1,bench,0.15730092
1,bear,0.15610996
1,dog,0.15566684
1,cow,0.1555008
1,elephant,0.15359417
1,car,0.1519846
1,dog,0.15135942
1,skis,0.15135512
1,elephant,0.14923064
1,horse,0.14403075
1,person,0.14300649
1,teddy bear,0.14254875
1,person,0.14217027
1,person,0.13934003
1,person,0.1347088
1,sheep,0.13323523
1,frisbee,0.13292208
1,cow,0.13133657
1,teddy bear,0.13084106
1,horse,0.1308072
1,dog,0.13034448
1,frisbee,0.12988056
1,elephant,0.12943666
1,sheep,0.12914355
1,elephant,0.12879269
1,frisbee,0.1287455
1,handbag,0.12861364
1,horse,0.1264473
1,handbag,0.12485176
1,truck,0.12478181
1,cow,0.12353319
1,person,0.12198411
1,handbag,0.12106453
1,tennis racket,0.12086702
1,skis,0.120790675
1,person,0.12038358
1,elephant,0.1195333
1,bird,0.11876811
1,cat,0.11846183
1,horse,0.1182941
1,backpack,0.11753872
1,kite,0.1173996
1,bench,0.117173985
1,car,0.11702998
1,bird,0.11601584
1,bird,0.11595622
1,person,0.11475993
1,chair,0.114758715
1,person,0.11433566
1,umbrella,0.11388668
1,skateboard,0.111959636
1,sheep,0.11162133
1,bench,0.11011759
1,clock,0.10934176
1,person,0.10906977
1,cow,0.108928785
1,bench,0.1084761
1,backpack,0.10824839
1,bench,0.10776797
1,car,0.10726496
1,person,0.10720119
1,horse,0.10716153
1,fire hydrant,0.10706752
1,person,0.10643679
1,person,0.105035976
1,skis,0.10483298
1,handbag,0.1041645
1,dog,0.10410512
1,car,0.10329274
2,elephant,0.6994029
2,person,0.66103876
2,bear,0.6052661
2,dog,0.38595688
2,car,0.32229015
2,cow,0.2815117
2,horse,0.2599534
2,car,0.2533714
2,person,0.23670381
2,person,0.23013732
2,cow,0.22088021
2,person,0.21245816
2,elephant,0.20702803
2,bench,0.20324308
2,person,0.19266875
2,sheep,0.19242743
2,horse,0.18285611
2,elephant,0.17949691
2,car,0.17174415
2,umbrella,0.1661515
2,backpack,0.16600768
2,person,0.16436663
2,sheep,0.16412584
2,elephant,0.16149783
2,elephant,0.15925133
2,horse,0.15144148
2,bench,0.15111488
2,person,0.15059172
2,person,0.14912125
2,cow,0.13753419
2,car,0.13728827
2,person,0.13562092
2,dog,0.13495016
2,person,0.13449897
2,person,0.13407987
2,handbag,0.13356872
2,elephant,0.13232791
2,sheep,0.13031237
2,person,0.12812614
2,elephant,0.12649599
2,cow,0.12614149
2,person,0.12580052
2,person,0.12412641
2,person,0.12357646
2,horse,0.12138351
2,skis,0.11992332
2,handbag,0.11908852
2,cat,0.11901015
2,person,0.11889467
2,bench,0.11840571
2,backpack,0.11832001
2,person,0.11714221
2,car,0.1167529
2,cow,0.116615854
2,person,0.115943715
2,cow,0.11562812
2,bird,0.11385076
2,person,0.11353198
2,cow,0.11224433
2,bench,0.112142414
2,sheep,0.11070164
2,dog,0.11032841
2,skis,0.109891325
2,truck,0.10987508
2,person,0.10945404
2,person,0.109292574
2,handbag,0.10900181
2,person,0.10771329
2,horse,0.106241144
2,kite,0.105565764
2,umbrella,0.10468237
2,dog,0.104570195
2,person,0.103581324
2,car,0.10345034
2,bus,0.10337218
2,bench,0.10238773
2,car,0.10210979
2,backpack,0.102049075
2,fire hydrant,0.10199265
2,teddy bear,0.101882756
2,cow,0.10139159
2,person,0.10104394
2,bench,0.10011765
2,teddy bear,0.10001322
2,chair,0.099696994
2,person,0.09963835
2,skateboard,0.099341616
2,cow,0.09764741
2,umbrella,0.09713785
2,elephant,0.09637204
2,person,0.09625087
2,teddy bear,0.09613479
2,cell phone,0.09550085
2,umbrella,0.09500052
2,clock,0.09499759
2,horse,0.09447205
2,bear,0.09439121
2,sheep,0.09417209
2,hot dog,0.09401383
2,frisbee,0.0940019
3,elephant,0.8523364
3,person,0.60408425
3,bear,0.44280237
3,person,0.33524635
3,car,0.33250797
3,car,0.25952572
3,elephant,0.23502977
3,person,0.22432752
3,person,0.20528787
3,backpack,0.19820766
3,bench,0.19687803
3,dog,0.19571617
3,person,0.19356778
3,cow,0.17862974
3,car,0.17771487
3,handbag,0.17726386
3,umbrella,0.16512148
3,bench,0.15650915
3,person,0.15207982
3,cow,0.14903644
3,elephant,0.14673953
3,elephant,0.14272858
3,car,0.14182281
3,cow,0.14180598
3,backpack,0.1334164
3,person,0.1318087
3,dog,0.13083465
3,sheep,0.129043
3,handbag,0.12717642
3,frisbee,0.1266598
3,skateboard,0.12663022
3,elephant,0.12402815
3,horse,0.12323081
3,horse,0.12187536
3,person,0.1215266
3,person,0.12011787
3,car,0.11881642
3,elephant,0.118568935
3,horse,0.1185007
3,horse,0.11792736
3,bench,0.11770899
3,person,0.11752621
3,bird,0.11733103
3,sheep,0.116201706
3,bench,0.11510983
3,truck,0.112687744
3,person,0.11185647
3,person,0.11158346
3,cow,0.111193694
3,giraffe,0.11002642
3,cat,0.109241195
3,person,0.108852185
3,person,0.1083426
3,car,0.10772303
3,umbrella,0.10712561
3,umbrella,0.10603608
3,horse,0.10571166
3,person,0.105396956
3,cow,0.104052015
3,person,0.10402963
3,fire hydrant,0.104022205
3,tie,0.102955185
3,cow,0.10210709
3,kite,0.101769306
3,elephant,0.101759784
3,dog,0.10147048
3,person,0.10109634
3,backpack,0.10107033
3,bus,0.10090525
3,chair,0.10072741
3,clock,0.10006537
3,sheep,0.098908864
3,skis,0.09836344
3,elephant,0.097900786
3,person,0.097296424
3,car,0.09673156
3,bench,0.096086584
3,sheep,0.095332526
3,sports ball,0.09439121
3,bench,0.094311275
3,car,0.09424724
3,person,0.09358965
3,person,0.093274966
3,horse,0.09301448
3,cow,0.09284392
3,dog,0.09251096
3,bench,0.0916174
3,person,0.09073534
3,car,0.090298556
3,clock,0.08996459
3,bench,0.089841336
3,sports ball,0.089491904
3,bird,0.08945324
3,stop sign,0.08941511
3,skateboard,0.088924974
3,giraffe,0.08885781
3,dog,0.08880941
3,elephant,0.08840538
3,bird,0.088151515
3,bird,0.08793846
4,elephant,0.74777067
4,person,0.6379673
4,dog,0.6011602
4,bear,0.47114888
4,cow,0.4308669
4,car,0.31581846
4,horse,0.25710693
4,cow,0.24087748
4,car,0.23477656
4,person,0.23152402
4,person,0.22700663
4,person,0.22135922
4,person,0.20832253
4,person,0.2049887
4,bench,0.19792418
4,cow,0.1967607
4,handbag,0.19419612
4,cat,0.19407812
4,backpack,0.18800688
4,car,0.18102592
4,cow,0.17330897
4,elephant,0.17226052
4,person,0.1657935
4,elephant,0.16181844
4,person,0.16063571
4,umbrella,0.1574139
4,bench,0.15551144
4,horse,0.15490979
4,frisbee,0.14990239
4,skis,0.14769654
4,sheep,0.1476404
4,skis,0.14552191
4,sheep,0.14305423
4,car,0.13981043
4,horse,0.13822755
4,skateboard,0.13792601
4,person,0.13647625
4,backpack,0.1354798
4,sheep,0.13109897
4,person,0.13011771
4,person,0.12936397
4,elephant,0.12706314
4,cow,0.1268042
4,sheep,0.12658249
4,horse,0.1264374
4,handbag,0.12558958
4,sheep,0.12491451
4,person,0.12371175
4,person,0.12050457
4,person,0.120157786
4,person,0.119190075
4,elephant,0.11883875
4,bench,0.11855416
4,giraffe,0.11763906
4,car,0.11735698
4,horse,0.11728992
4,horse,0.11701385
4,bird,0.11645206
4,bench,0.116448134
4,dog,0.11617669
4,elephant,0.115394734
4,person,0.11423534
4,horse,0.11338231
4,person,0.113170944
4,cow,0.11289143
4,cow,0.11096289
4,cow,0.1108372
4,car,0.10914613
4,person,0.10882648
4,truck,0.10844308
4,person,0.107885614
4,skateboard,0.1067425
4,cow,0.10621779
4,tie,0.10585392
4,elephant,0.10491436
4,bird,0.10400392
4,backpack,0.10380371
4,surfboard,0.103730805
4,person,0.10340884
4,umbrella,0.10313331
4,bus,0.10286485
4,bench,0.10284751
4,horse,0.10230755
4,umbrella,0.10215928
4,person,0.10210545
4,handbag,0.10203033
4,person,0.10197243
4,chair,0.10156076
4,person,0.10129792
4,person,0.099812925
4,skis,0.099228
4,cow,0.09838046
4,elephant,0.09717399
4,fire hydrant,0.09711503
4,surfboard,0.096508704
4,person,0.095947675
4,elephant,0.09562554
4,kite,0.0952262
4,person,0.09508959
4,frisbee,0.09495842
5,dog,0.761377
5,bear,0.66210204
5,person,0.6493669
5,car,0.30273435
5,elephant,0.28194785
5,person,0.27968496
5,person,0.274068
5,cow,0.27148387
5,handbag,0.26465103
5,car,0.23368461
5,backpack,0.22854511
5,person,0.22437775
5,skis,0.21385045
5,elephant,0.20745635
5,bench,0.20493072
5,umbrella,0.19842672
5,person,0.19262151
5,person,0.1880407
5,frisbee,0.17677887
5,elephant,0.17188096
5,car,0.17184377
5,person,0.16841297
5,dog,0.1659559
5,dog,0.16435029
5,handbag,0.16307701
5,person,0.16185407
5,cat,0.16021018
5,cow,0.15590456
5,bench,0.15532008
5,horse,0.15246025
5,person,0.15219086
5,person,0.15130565
5,cow,0.15003175
5,horse,0.14624004
5,bear,0.14582251
5,person,0.14431703
5,person,0.14147814
5,skis,0.1339054
5,backpack,0.13136555
5,car,0.12998632
5,person,0.123914845
5,tie,0.12148758
5,sheep,0.12034522
5,bench,0.120101236
5,umbrella,0.11975223
5,person,0.11867446
5,car,0.118347436
5,skateboard,0.11813094
5,elephant,0.117673516
5,dog,0.117505215
5,dog,0.11690179
5,bird,0.11647289
5,bench,0.115046896
5,horse,0.11366635
5,person,0.11266716
5,bird,0.11260683
5,bird,0.11242768
5,traffic light,0.11098543
5,skis,0.10880686
5,person,0.108732976
5,cow,0.10680192
5,person,0.10639329
5,person,0.10630718
5,car,0.10579397
5,umbrella,0.10570904
5,horse,0.10419568
5,person,0.10356114
5,skis,0.10298763
5,person,0.10223392
5,truck,0.10171827
5,handbag,0.10116632
5,bus,0.10103993
5,bench,0.10093726
5,cow,0.100809745
5,person,0.100533016
5,chair,0.10047395
5,bird,0.099419296
5,person,0.0985543
5,bench,0.09834336
5,dog,0.09679622
5,fire hydrant,0.09658007
5,frisbee,0.09573362
5,car,0.09555837
5,cow,0.09537023
5,person,0.094839275
5,handbag,0.09372561
5,skis,0.09330893
5,person,0.092984684
5,backpack,0.09260861
5,sheep,0.09250035
5,car,0.09217761
5,giraffe,0.091383606
5,handbag,0.09128622
5,kite,0.089510895
5,bench,0.08878156
5,bear,0.08853851
5,horse,0.08844425
5,sheep,0.088383235
5,bird,0.08821853
5,bear,0.08787753
6,dog,0.81914073
6,person,0.6526262
6,car,0.33933815
6,person,0.3351238
6,horse,0.2777345
6,cat,0.27646914
6,person,0.26708356
6,car,0.258175
6,elephant,0.2575802
6,cow,0.24239857
6,person,0.24236038
6,bear,0.23956184
6,skis,0.23029429
6,person,0.22352968
6,bench,0.21428539
6,dog,0.20618142
6,person,0.19872792
6,car,0.18596557
6,horse,0.18544403
6,person,0.17876387
6,cow,0.1783776
6,dog,0.17658429
6,handbag,0.17632337
6,giraffe,0.16618522
6,person,0.16375175
6,person,0.16339943
6,person,0.16246113
6,person,0.15999241
6,bench,0.15895224
6,backpack,0.1583706
6,umbrella,0.15753008
6,frisbee,0.15016572
6,car,0.14840485
6,dog,0.14782019
6,person,0.14542182
6,person,0.13979904
6,person,0.13907973
6,skis,0.13541573
6,horse,0.13418713
6,cow,0.12625833
6,bird,0.12469417
6,skis,0.1244429
6,bird,0.12392152
6,handbag,0.1231955
6,skis,0.1230537
6,tie,0.12165464
6,person,0.12137031
6,bench,0.12136179
6,elephant,0.119728774
6,car,0.11942915
6,truck,0.117996514
6,dog,0.11702391
6,bench,0.116614155
6,person,0.11631683
6,bird,0.11611146
6,cow,0.11505591
6,bird,0.11241411
6,car,0.11210713
6,horse,0.11110235
6,skis,0.110806964
6,person,0.11040414
6,bird,0.10986353
6,fire hydrant,0.10956914
6,backpack,0.109542035
6,bus,0.1077033
6,elephant,0.107105315
6,person,0.10609737
6,skis,0.10607813
6,chair,0.10549801
6,cow,0.104394674
6,elephant,0.10423187
6,giraffe,0.1019906
6,skateboard,0.10166075
6,horse,0.101579875
6,person,0.10145359
6,bench,0.10033612
6,person,0.100178815
6,dog,0.100013256
6,surfboard,0.09996024
6,dog,0.09939071
6,cow,0.0990336
6,surfboard,0.098968074
6,giraffe,0.09835545
6,bench,0.09834475
6,frisbee,0.09764755
6,giraffe,0.09667443
6,umbrella,0.09596317
6,person,0.09592185
6,bird,0.09545501
6,person,0.095108755
6,car,0.09505689
6,sheep,0.09500809
6,clock,0.09489473
6,sheep,0.09451875
6,car,0.09407595
6,bear,0.09386176
6,horse,0.0937458
6,elephant,0.09328366
6,sheep,0.0928478
6,person,0.092844404
7,dog,0.81761956
7,person,0.636057
7,car,0.3210463
7,cow,0.30337188
7,person,0.2622543
7,bear,0.2605098
7,person,0.25684386
7,car,0.24534951
7,cat,0.22904235
7,elephant,0.22057764
7,horse,0.21927147
7,bench,0.20036183
7,giraffe,0.19902523
7,elephant,0.19130968
7,backpack,0.1912339
7,dog,0.18609756
7,person,0.18319155
7,car,0.17864802
7,person,0.17814639
7,dog,0.1747829
7,person,0.17312616
7,clock,0.17283727
7,frisbee,0.17217891
