Frame Number,Object,Confidence Score
1,car,0.7662705
1,person,0.67857885
1,car,0.67737836
1,person,0.6518278
1,person,0.6275744
1,person,0.61432046
1,person,0.5862781
1,person,0.56702524
1,person,0.5644264
1,skateboard,0.5389568
1,person,0.51254475
1,person,0.5088656
1,person,0.50635475
1,person,0.5048984
1,skateboard,0.50263655
1,person,0.49978334
1,person,0.48912567
1,person,0.4807565
1,person,0.47364405
1,person,0.46970126
1,traffic light,0.46108782
1,traffic light,0.46029967
1,person,0.45365232
1,car,0.4394397
1,person,0.43511197
1,handbag,0.4331619
1,traffic light,0.42676637
1,car,0.42347002
1,car,0.4224909
1,bicycle,0.40523285
1,person,0.39051202
1,person,0.38940766
1,person,0.38168177
1,person,0.3810729
1,car,0.3781128
1,person,0.37775663
1,person,0.37701455
1,person,0.36607867
1,skateboard,0.3642043
1,person,0.3630353
1,truck,0.36156848
1,person,0.35948655
1,traffic light,0.34632304
1,skateboard,0.34622943
1,person,0.34443673
1,person,0.3440891
1,potted plant,0.34158128
1,person,0.3412952
1,handbag,0.3409607
1,person,0.3388095
1,car,0.33435217
1,handbag,0.33365068
1,car,0.3316529
1,person,0.3293506
1,traffic light,0.32663384
1,car,0.3250093
1,car,0.3230922
1,motorcycle,0.32167736
1,person,0.31751493
1,car,0.3168972
1,person,0.31374747
1,car,0.30850902
1,traffic light,0.30479026
1,handbag,0.304426
1,bicycle,0.30338082
1,potted plant,0.30149746
1,handbag,0.3013189
1,handbag,0.29839802
1,skateboard,0.29815802
1,traffic light,0.29597074
1,traffic light,0.29550704
1,traffic light,0.29430574
1,car,0.29407287
1,motorcycle,0.29397482
1,bench,0.2930058
1,traffic light,0.29219836
1,potted plant,0.29177603
1,handbag,0.29177278
1,potted plant,0.29078645
1,traffic light,0.28976327
1,person,0.28847316
1,bench,0.28810385
1,bench,0.28620115
1,handbag,0.28511617
1,skateboard,0.2835013
1,bicycle,0.28339937
1,person,0.2830524
1,car,0.28280666
1,handbag,0.2827674
1,person,0.2817561
1,traffic light,0.28174162
1,car,0.27947223
1,chair,0.27768326
1,backpack,0.27646008
1,handbag,0.27595165
1,handbag,0.27354738
1,chair,0.27241847
1,bench,0.2711324
1,traffic light,0.26866776
1,car,0.26597244
2,car,0.7631048
2,car,0.72726965
2,person,0.6967981
2,person,0.6379069
2,person,0.63394314
2,person,0.6301946
2,person,0.606136
2,person,0.5960739
2,person,0.59301883
2,person,0.5317905
2,person,0.52124137
2,person,0.52030855
2,person,0.5136146
2,person,0.51253366
2,person,0.48769706
2,person,0.48439553
2,car,0.48371363
2,person,0.47417027
2,skateboard,0.47373033
2,person,0.47324413
2,person,0.4634373
2,bicycle,0.46317297
2,person,0.45888883
2,traffic light,0.44626585
2,person,0.44109455
2,traffic light,0.44095942
2,person,0.4359338
2,traffic light,0.43536475
2,handbag,0.41494974
2,person,0.39947668
2,person,0.39422265
2,skateboard,0.3895347
2,person,0.3838658
2,handbag,0.3716124
2,truck,0.37086844
2,person,0.3703498
2,person,0.36250755
2,handbag,0.36174604
2,person,0.35371375
2,skateboard,0.35271543
2,person,0.34931442
2,handbag,0.34641165
2,person,0.34403488
2,handbag,0.34084144
2,potted plant,0.3402902
2,person,0.33991772
2,skateboard,0.3375241
2,person,0.3374256
2,car,0.33429256
2,person,0.3309888
2,traffic light,0.32811928
2,person,0.32800445
2,person,0.32573566
2,traffic light,0.3252091
2,person,0.32450417
2,person,0.3206732
2,car,0.31816944
2,bicycle,0.31801528
2,traffic light,0.31718978
2,traffic light,0.3170031
2,person,0.31517133
2,bicycle,0.31388506
2,traffic light,0.307771
2,traffic light,0.30254355
2,handbag,0.30206773
2,chair,0.30041575
2,skateboard,0.300223
2,handbag,0.29613438
2,person,0.29602638
2,potted plant,0.29583713
2,motorcycle,0.2939811
2,handbag,0.2931854
2,traffic light,0.29218715
2,bicycle,0.29155758
2,traffic light,0.29115814
2,bicycle,0.28945637
2,car,0.28791615
2,person,0.28790894
2,traffic light,0.28684324
2,car,0.2868253
2,bicycle,0.28639325
2,car,0.28597087
2,handbag,0.2838477
2,handbag,0.28384566
2,handbag,0.2788594
2,traffic light,0.2757772
2,traffic light,0.2723282
2,traffic light,0.27185816
2,motorcycle,0.27105898
2,bicycle,0.26979005
2,bench,0.26941007
2,skateboard,0.2691845
2,car,0.26859477
2,potted plant,0.2664364
2,bicycle,0.26512605
2,person,0.26422602
2,car,0.26269764
2,potted plant,0.25844732
2,skateboard,0.25800624
2,handbag,0.25766486
3,car,0.75895524
3,car,0.7299996
3,person,0.7023256
3,person,0.65505004
3,person,0.6418803
3,person,0.6175721
3,person,0.5972336
3,person,0.5936993
3,person,0.58153856
3,person,0.5705371
3,person,0.5334667
3,person,0.52595633
3,person,0.49754918
3,person,0.48676774
3,skateboard,0.4760648
3,person,0.4758643
3,person,0.47234443
3,person,0.47172257
3,person,0.46561044
3,person,0.45716313
3,traffic light,0.45174888
3,traffic light,0.44581977
3,car,0.4423654
3,person,0.43335903
3,bicycle,0.4303102
3,handbag,0.4113977
3,person,0.398329
3,person,0.39733842
3,person,0.39021158
3,person,0.3889379
3,person,0.3824623
3,traffic light,0.37346768
3,person,0.3727059
3,handbag,0.37106735
3,skateboard,0.37082952
3,handbag,0.36705443
3,person,0.36633036
3,bicycle,0.35900855
3,car,0.35766107
3,car,0.3535973
3,skateboard,0.35090724
3,person,0.34896854
3,motorcycle,0.3487788
3,bicycle,0.34762144
3,person,0.34475842
3,person,0.3415189
3,skateboard,0.33761716
3,handbag,0.336292
3,person,0.33447447
3,person,0.33109605
3,traffic light,0.32917202
3,person,0.3290747
3,traffic light,0.32709196
3,potted plant,0.32588705
3,truck,0.3252424
3,car,0.3235926
3,person,0.32285637
3,person,0.32235515
3,handbag,0.3217594
3,traffic light,0.3202702
3,handbag,0.319644
3,handbag,0.31752533
3,bicycle,0.31523794
3,bicycle,0.31199133
3,car,0.31139323
3,potted plant,0.30898553
3,person,0.30621117
3,car,0.30425835
3,person,0.304099
3,person,0.30371085
3,skateboard,0.30329585
3,traffic light,0.30120137
3,handbag,0.30012622
3,skateboard,0.30005378
3,traffic light,0.29847017
3,person,0.29742151
3,handbag,0.29611307
3,traffic light,0.29342046
3,car,0.2913611
3,bicycle,0.29063892
3,traffic light,0.28972986
3,bicycle,0.28433657
3,car,0.28402698
3,traffic light,0.282958
3,backpack,0.28194547
3,car,0.28155166
3,person,0.2776879
3,motorcycle,0.27616572
3,traffic light,0.27425262
3,traffic light,0.2730767
3,motorcycle,0.26769823
3,person,0.26749554
3,traffic light,0.267147
3,car,0.26707897
3,traffic light,0.26481578
3,handbag,0.2641875
3,handbag,0.26362452
3,traffic light,0.263441
3,traffic light,0.2633694
3,bicycle,0.26183802
4,car,0.7635268
4,car,0.7594062
4,person,0.68657494
4,person,0.6535945
4,person,0.6346837
4,person,0.6265724
4,person,0.61954063
4,person,0.56764036
4,person,0.5611594
4,person,0.5437711
4,person,0.53557575
4,bicycle,0.5120457
4,person,0.5064575
4,person,0.49451667
4,person,0.47155973
4,bicycle,0.4696648
4,person,0.45640737
4,person,0.4524124
4,handbag,0.45237142
4,person,0.45152792
4,person,0.4507613
4,person,0.45067078
4,person,0.44079933
4,traffic light,0.43612823
4,traffic light,0.42582121
4,skateboard,0.41405642
4,traffic light,0.40349743
4,handbag,0.39340445
4,person,0.39086396
4,handbag,0.3877534
4,person,0.38680935
4,person,0.3845934
4,person,0.38061056
4,person,0.37630948
4,person,0.37554258
4,person,0.37299338
4,handbag,0.36813635
4,handbag,0.3672043
4,person,0.35961613
4,person,0.35797587
4,person,0.35777476
4,car,0.35659137
4,handbag,0.35394785
