Frame,Object,Confidence
1,person,0.9997309
1,person,0.9959038
1,person,0.9713003
1,person,0.9656858
1,person,0.8545151
2,person,0.99968874
2,person,0.9973654
2,person,0.95820737
2,person,0.9551066
2,person,0.95142275
2,person,0.9436242
2,person,0.70055383
3,person,0.9996828
3,person,0.9973225
3,person,0.958026
3,person,0.95670295
3,person,0.95298785
3,person,0.9438443
3,person,0.71860373
4,person,0.9996176
4,person,0.99757665
4,person,0.97674334
4,person,0.9684353
4,person,0.93969035
4,person,0.93437725
4,person,0.9227276
5,person,0.9992555
5,person,0.9973888
5,person,0.9923224
5,person,0.98672223
5,person,0.9735926
5,person,0.97163624
5,person,0.92462105
6,person,0.99927026
6,person,0.99736816
6,person,0.99245644
6,person,0.98703915
6,person,0.97418404
6,person,0.9728545
6,person,0.92079556
7,person,0.9994351
7,person,0.9973137
7,person,0.99668425
7,person,0.9963021
7,person,0.9708708
7,person,0.966692
7,person,0.9309046
8,person,0.9993931
8,person,0.9980014
8,person,0.99756444
8,person,0.9936733
8,person,0.9840148
8,person,0.9639111
8,person,0.79618174
8,person,0.74003327
9,person,0.99939585
9,person,0.99801886
9,person,0.99757355
9,person,0.9939063
9,person,0.98386395
9,person,0.96535546
9,person,0.8102719
9,person,0.7356305
10,person,0.99940646
10,person,0.9981919
10,person,0.99743336
10,person,0.9888362
10,person,0.9880993
10,person,0.9377588
10,person,0.7915383
11,person,0.99885833
11,person,0.99844754
11,person,0.9976101
11,person,0.9961888
11,person,0.94259423
11,person,0.9217105
11,person,0.7331942
12,person,0.9988273
12,person,0.9984413
12,person,0.9975737
12,person,0.99624026
12,person,0.94880253
12,person,0.92874205
12,person,0.7239468
13,person,0.99869245
13,person,0.9985536
13,person,0.99771845
13,person,0.98817575
13,person,0.9592178
13,person,0.9363132
13,person,0.79231274
14,person,0.9991942
14,person,0.99859935
14,person,0.9975915
14,person,0.9975293
14,person,0.9148182
14,person,0.79465246
14,person,0.7808332
15,person,0.9991872
15,person,0.9986135
15,person,0.9976363
15,person,0.997552
15,person,0.9163379
15,person,0.78973913
15,person,0.7823338
16,person,0.99956197
16,person,0.9984143
16,person,0.9976776
16,person,0.9973322
16,person,0.92769337
17,person,0.9994742
17,person,0.99815327
17,person,0.9979382
17,person,0.99760604
17,person,0.9515126
17,person,0.80003774
17,umbrella,0.73616177
17,person,0.70377177
18,person,0.99948776
18,person,0.9981584
18,person,0.9979073
18,person,0.99759775
18,person,0.9511067
18,person,0.7971354
18,umbrella,0.7392386
18,person,0.7021947
19,person,0.999433
19,person,0.998211
19,person,0.9977902
19,person,0.9967835
19,person,0.9305372
19,person,0.8750669
19,umbrella,0.7986561
20,person,0.9996045
20,person,0.9982937
20,person,0.9982181
20,person,0.9975884
20,person,0.9797498
20,person,0.92111224
21,person,0.99960715
21,person,0.998374
21,person,0.99823123
21,person,0.99760205
21,person,0.9796205
21,person,0.9213664
22,person,0.99952376
22,person,0.99823254
22,person,0.99784863
22,person,0.9933242
22,person,0.9843077
22,person,0.962649
22,potted plant,0.7955248
23,person,0.9996455
23,person,0.9974794
23,person,0.9970968
23,person,0.9893243
23,person,0.97655666
23,person,0.958269
23,car,0.7938521
24,person,0.9996412
24,person,0.99749666
24,person,0.9971523
24,person,0.9898608
24,person,0.9764208
