Frame Number,Object,Confidence Score
1,giraffe,0.62749326
1,person,0.623805
1,person,0.5787794
1,person,0.54187715
1,person,0.5242956
1,person,0.5029477
1,person,0.48371956
1,person,0.4788241
1,person,0.47119197
1,person,0.45230806
1,giraffe,0.422678
1,person,0.41201797
1,giraffe,0.40927604
1,person,0.36570984
1,person,0.36485398
1,person,0.3442876
1,giraffe,0.32898507
1,person,0.30944127
1,skateboard,0.29355377
1,person,0.27905574
1,person,0.27739277
1,potted plant,0.27623683
1,person,0.2698373
1,giraffe,0.26627705
1,person,0.26070052
1,person,0.25425497
1,horse,0.2522891
1,bench,0.2516098
1,handbag,0.24962187
1,giraffe,0.24578312
1,person,0.2413439
1,cell phone,0.23927747
1,person,0.23808093
1,person,0.23702711
1,giraffe,0.23600419
1,person,0.23544715
1,bowl,0.23436245
1,potted plant,0.23144683
1,horse,0.22864701
1,person,0.22744271
1,giraffe,0.22508235
1,person,0.22422063
1,person,0.22072756
1,cell phone,0.2193927
1,bicycle,0.2187122
1,bowl,0.21864694
1,bench,0.21427177
1,bicycle,0.20795426
1,giraffe,0.20648576
1,horse,0.20451488
1,handbag,0.20093404
1,cup,0.20046827
1,chair,0.19649315
1,person,0.19637258
1,person,0.19491509
1,skateboard,0.19176042
1,cow,0.1914688
1,person,0.19135
1,person,0.19047369
1,sports ball,0.18935438
1,chair,0.18793906
1,bench,0.18709446
1,cup,0.18446586
1,bench,0.18358536
1,bench,0.18348722
1,handbag,0.18347597
1,train,0.18234539
1,person,0.182125
1,giraffe,0.18077311
1,handbag,0.18037651
1,giraffe,0.17948252
1,person,0.17779152
1,horse,0.17337169
1,person,0.17207141
1,chair,0.17098592
1,person,0.17085327
1,chair,0.17039554
1,bench,0.16961148
1,person,0.16910505
1,car,0.16780512
1,person,0.16685069
1,person,0.16614728
1,sports ball,0.16595843
1,bench,0.16537172
1,chair,0.16517185
1,giraffe,0.16448861
1,bench,0.16369602
1,bench,0.16085164
1,handbag,0.16031723
1,sports ball,0.16015974
1,handbag,0.15948264
1,bench,0.15936105
1,car,0.15908645
1,dog,0.15833955
1,potted plant,0.1579565
1,person,0.1579549
1,giraffe,0.1575302
1,tennis racket,0.15718359
1,bicycle,0.1566499
1,person,0.15662354
2,person,0.6648734
2,person,0.60294145
2,giraffe,0.5720812
2,giraffe,0.52218646
2,person,0.5149578
2,person,0.5044623
2,person,0.49690014
2,person,0.46646786
2,giraffe,0.46197405
2,person,0.43150216
2,person,0.4254502
2,person,0.42122996
2,giraffe,0.42047793
2,person,0.40970284
2,person,0.39599383
2,person,0.39549637
2,person,0.37964267
2,person,0.3729751
2,horse,0.362213
2,person,0.33756304
2,horse,0.3246404
2,person,0.31811836
2,person,0.31811732
2,person,0.3034127
2,person,0.29881775
2,person,0.28927064
2,person,0.28286764
2,person,0.27814704
2,bench,0.27621764
2,giraffe,0.27228227
2,giraffe,0.26589224
2,giraffe,0.26279038
2,cell phone,0.25981644
2,person,0.2522385
2,cow,0.2520103
2,potted plant,0.25151652
2,cell phone,0.24922572
