Frame,Object,Confidence
1,person,0.9991737
1,car,0.9981298
1,person,0.9974254
1,person,0.9863208
1,person,0.98583084
1,car,0.9807797
1,person,0.97466385
1,car,0.97278756
1,person,0.9680444
1,car,0.95949286
1,bus,0.9449388
1,traffic light,0.9272477
1,traffic light,0.9215422
1,backpack,0.9042961
1,car,0.88458544
1,truck,0.82811916
1,handbag,0.8066696
1,person,0.7178765
1,traffic light,0.67042106
1,traffic light,0.59894216
1,handbag,0.58411753
1,traffic light,0.58121896
1,backpack,0.5341519
1,person,0.39517266
1,car,0.39473265
1,train,0.354477
1,car,0.35038203
1,handbag,0.3399589
1,person,0.33585918
1,traffic light,0.26646763
1,backpack,0.25630063
1,bus,0.25026876
1,handbag,0.22038956
1,traffic light,0.20500587
1,skateboard,0.1681989
1,handbag,0.16181661
1,truck,0.15849268
1,umbrella,0.15552701
1,car,0.15369694
1,bus,0.15032612
1,person,0.1414408
1,traffic light,0.1272554
1,bicycle,0.120829284
1,traffic light,0.103779964
1,car,0.095436186
1,person,0.09126863
1,truck,0.09039988
1,handbag,0.08890436
1,bus,0.08843672
1,refrigerator,0.08803055
1,person,0.08550789
1,traffic light,0.079933785
1,person,0.07847981
1,stop sign,0.07671032
1,handbag,0.07631418
1,truck,0.07347925
1,car,0.07096071
1,backpack,0.06410113
1,backpack,0.06315641
1,suitcase,0.06055214
1,traffic light,0.060522947
1,traffic light,0.059166137
1,car,0.054614644
1,truck,0.053801216
1,sink,0.053094566
1,car,0.05048106
2,person,0.99889886
2,person,0.9972186
2,car,0.9960049
2,car,0.9872662
2,person,0.9864998
2,car,0.97050977
2,car,0.9704197
2,person,0.96447444
2,person,0.9390047
2,person,0.9381135
2,backpack,0.93071985
2,traffic light,0.92207414
2,traffic light,0.9112583
2,car,0.87830764
2,bus,0.8686903
2,handbag,0.86174893
2,truck,0.850064
2,person,0.736387
2,traffic light,0.68714744
2,backpack,0.59840393
2,bus,0.5661775
2,train,0.41171265
2,car,0.40186635
2,traffic light,0.3775222
2,car,0.3518517
