Frame Number,Object,Confidence Score
1,car,0.7555544
1,bus,0.75290126
1,car,0.69096386
1,car,0.68932563
1,person,0.6819134
1,person,0.6586787
1,car,0.62439597
1,person,0.6177842
1,person,0.61392385
1,car,0.5622809
1,traffic light,0.5556526
1,car,0.5113324
1,bus,0.49833238
1,traffic light,0.4982311
1,car,0.49182352
1,bus,0.48902556
1,backpack,0.4806866
1,person,0.45709345
1,bus,0.453759
1,bus,0.44701132
1,handbag,0.4380468
1,car,0.4369852
1,truck,0.43682268
1,bus,0.43385157
1,handbag,0.42849267
1,person,0.4166799
1,traffic light,0.4116009
1,car,0.4089857
1,truck,0.40503052
1,person,0.40499836
1,bus,0.40275088
1,truck,0.39353952
1,truck,0.39011165
1,car,0.39001742
1,bus,0.38554338
1,handbag,0.38278663
1,handbag,0.38054025
1,person,0.3777147
1,car,0.37061062
1,person,0.3661814
1,car,0.35633865
1,person,0.35479012
1,car,0.3517054
1,traffic light,0.34894648
1,bus,0.34579065
1,car,0.34494144
1,person,0.34165892
1,truck,0.34147313
1,person,0.3366129
1,person,0.33615163
1,handbag,0.33451596
1,handbag,0.3305966
1,person,0.32977414
1,car,0.32614776
1,traffic light,0.32599074
1,handbag,0.32559824
1,bus,0.32448065
1,handbag,0.32289046
1,backpack,0.32091877
1,bus,0.31934845
1,traffic light,0.31651163
1,traffic light,0.31574926
1,backpack,0.3155844
1,backpack,0.31250617
1,person,0.31005856
1,motorcycle,0.30830646
1,handbag,0.3078572
1,person,0.30739853
1,traffic light,0.30627468
1,car,0.30606788
1,traffic light,0.30572742
1,person,0.3051829
1,car,0.30404142
1,person,0.3040202
1,bus,0.30175763
1,person,0.30089027
1,person,0.30045536
1,handbag,0.29717675
1,backpack,0.2961862
1,person,0.29556233
1,person,0.2930037
1,person,0.29077286
1,truck,0.28774413
1,person,0.28593165
1,person,0.28544623
1,person,0.28482705
1,car,0.2845363
1,train,0.28171214
1,skis,0.28020254
1,handbag,0.2790734
1,skis,0.27861273
1,umbrella,0.2772563
1,car,0.27693498
1,truck,0.27601808
1,car,0.27409425
1,backpack,0.2740866
1,backpack,0.2710145
1,car,0.27100608
1,person,0.2705857
1,bus,0.26625413
2,car,0.7731192
2,bus,0.7438786
2,person,0.7189568
2,car,0.7013946
2,car,0.6921198
2,person,0.6628145
2,person,0.62057394
2,car,0.6202849
2,traffic light,0.5423276
2,person,0.53861284
2,car,0.535779
2,car,0.53484243
2,person,0.5075608
2,bus,0.49580213
2,traffic light,0.47602972
2,bus,0.46489924
2,truck,0.46442693
2,person,0.45837
2,car,0.45036545
2,truck,0.44222867
2,handbag,0.44175208
2,handbag,0.44144964
2,backpack,0.43978107
2,bus,0.43511367
2,bus,0.43460518
2,bus,0.42770016
2,person,0.40894324
2,handbag,0.40685737
2,car,0.39237475
2,bus,0.39183477
2,backpack,0.3903141
2,bus,0.39013746
2,bus,0.3795734
2,truck,0.37843436
2,handbag,0.3728227
2,car,0.3719367
2,person,0.37017077
2,person,0.36759785
2,person,0.36205524
2,traffic light,0.36071843
2,truck,0.35533178
2,person,0.35088968
2,car,0.34720463
2,handbag,0.3453133
2,truck,0.34211606
2,truck,0.33977357
2,handbag,0.3385837
2,handbag,0.335744
2,person,0.33478448
2,car,0.3334815
2,train,0.32660097
2,person,0.3239158
2,bus,0.32196122
2,car,0.32180464
2,car,0.32162726
2,bus,0.31925645
2,traffic light,0.31675234
2,traffic light,0.31659847
2,motorcycle,0.312792
2,backpack,0.31222484
2,backpack,0.3104813
2,traffic light,0.3051037
2,car,0.305086
2,bus,0.3040617
2,skis,0.303299
2,backpack,0.29849073
2,handbag,0.29794815
2,train,0.29754868
2,backpack,0.29625723
2,person,0.29623762
2,car,0.29434186
2,car,0.2926486
2,car,0.2924548
2,truck,0.2903765
2,bus,0.28718588
2,car,0.2862634
2,car,0.28620523
2,person,0.2843874
2,car,0.2842601
2,traffic light,0.28176644
2,person,0.28050205
2,handbag,0.2798747
2,person,0.27852848
2,person,0.27837712
2,bus,0.27731705
2,train,0.27708665
2,handbag,0.27633953
2,person,0.27610382
2,person,0.2735954
2,car,0.27248165
2,person,0.2715522
2,person,0.27046597
2,traffic light,0.26774454
2,backpack,0.26689702
2,person,0.2654222
2,person,0.26183635
2,person,0.26117957
2,person,0.25758502
2,traffic light,0.25701788
2,skis,0.25462607
3,car,0.7582442
3,bus,0.7579311
3,car,0.7508122
3,person,0.7252572
3,car,0.6959487
3,car,0.69155127
3,person,0.6350161
3,person,0.63354284
3,person,0.56204647
3,car,0.54443586
3,car,0.5265972
3,traffic light,0.5117565
3,bus,0.50723404
3,handbag,0.48884508
3,truck,0.47581494
3,backpack,0.47520778
3,person,0.45522726
3,traffic light,0.4438823
3,handbag,0.43165994
3,bus,0.42604554
3,person,0.40958527
3,person,0.40945512
3,truck,0.40635812
3,car,0.39176574
3,bus,0.3904517
3,person,0.38517115
3,bus,0.38192996
3,handbag,0.37837166
3,bus,0.37729517
3,umbrella,0.3729504
3,car,0.37266657
3,backpack,0.37160745
3,bus,0.37152806
3,car,0.37143725
3,car,0.3683318
