Frame Number,Object,Confidence Score
1,person,0.69661427
1,person,0.6881404
1,person,0.6773089
1,car,0.56802714
1,person,0.56427145
1,car,0.45840013
1,car,0.43880498
1,person,0.43465567
1,car,0.430513
1,car,0.34203988
1,car,0.3327873
1,person,0.32611662
1,person,0.31688344
1,person,0.30780852
1,car,0.30717248
1,person,0.29449034
1,person,0.29357257
1,car,0.2923266
1,handbag,0.2895062
1,person,0.28824604
1,car,0.26538408
1,person,0.25486338
1,bicycle,0.2542087
1,person,0.25054252
1,person,0.25001118
1,car,0.24731195
1,person,0.24585843
1,person,0.24443187
1,person,0.24107766
1,cow,0.23996648
1,boat,0.23770382
1,boat,0.2352563
1,person,0.23067307
1,handbag,0.23049577
1,person,0.22802843
1,boat,0.22774658
1,handbag,0.22561947
1,car,0.22406399
1,person,0.22004241
1,car,0.21524666
1,person,0.21188031
1,person,0.20844057
1,traffic light,0.2059916
1,boat,0.20581777
1,chair,0.20451318
1,person,0.2017472
1,backpack,0.19951987
1,boat,0.199166
1,car,0.19881837
1,person,0.19748177
1,bench,0.1970806
1,person,0.19443445
1,baseball glove,0.1931424
1,car,0.1923484
1,chair,0.1904469
1,truck,0.18941286
1,handbag,0.18798943
1,car,0.18702044
1,car,0.18596125
1,backpack,0.18467698
1,truck,0.18445462
1,car,0.18293232
1,car,0.18045661
1,car,0.1803058
1,boat,0.18008675
1,person,0.17984658
1,bicycle,0.17834052
1,person,0.17794473
1,umbrella,0.17574981
1,person,0.17444731
1,car,0.17403212
1,person,0.17318471
1,person,0.17301369
1,car,0.17280959
1,boat,0.17229228
1,tie,0.17182313
1,car,0.17125905
1,handbag,0.17117672
1,backpack,0.1706559
1,bicycle,0.17033637
1,person,0.16997893
1,person,0.16937892
1,person,0.16936624
1,truck,0.16839582
1,boat,0.16738345
1,traffic light,0.16707805
1,person,0.1669432
1,car,0.16682194
1,person,0.16632393
1,person,0.16606024
1,handbag,0.16563098
1,handbag,0.1653581
1,person,0.1649128
1,handbag,0.16482012
1,person,0.16456744
1,handbag,0.16408084
1,boat,0.16403566
1,person,0.16333503
1,skateboard,0.16217954
1,person,0.16139318
2,person,0.6880965
2,person,0.6763814
2,person,0.675993
2,person,0.60883915
2,car,0.58328485
2,car,0.44747737
2,car,0.44526646
2,car,0.40840828
2,person,0.36045402
2,person,0.3589382
2,car,0.30401194
2,car,0.30399346
2,person,0.29903585
2,person,0.28917268
2,car,0.2867955
2,person,0.2853398
2,person,0.28303912
2,person,0.28272784
2,car,0.2809625
2,car,0.28080124
2,car,0.27102676
2,handbag,0.26847166
2,handbag,0.2643328
2,handbag,0.25806308
2,person,0.25370085
2,person,0.25320536
2,person,0.24754524
2,boat,0.24002197
2,person,0.23550725
2,boat,0.23537187
2,person,0.23374222
2,person,0.22976783
2,person,0.2270514
2,person,0.22596048
2,person,0.22070408
2,chair,0.21799493
2,car,0.21528956
2,chair,0.21313852
2,boat,0.21171327
2,cow,0.20912337
2,boat,0.20821594
2,car,0.20505846
2,handbag,0.20428677
2,bench,0.20330006
2,handbag,0.20275655
2,baseball glove,0.2001549
2,truck,0.1984808
2,traffic light,0.19728012
2,backpack,0.19600084
2,car,0.19457206
