Frame,Object Name,X1,Y1,X2,Y2
0,person,47,141,478,849
0,remote,258,395,307,458
0,chair,-2,352,466,851
0,chair,230,603,477,851
1,person,47,142,478,849
1,remote,255,394,305,457
1,chair,-2,350,463,851
1,chair,229,604,478,851
1,cup,338,335,389,391
2,person,47,142,478,849
2,remote,255,394,305,457
2,chair,-2,350,464,851
2,chair,229,605,478,851
2,cup,338,335,390,389
3,person,46,143,477,849
3,remote,253,394,304,456
3,chair,-2,350,451,851
3,chair,228,610,477,851
3,cup,338,337,389,388
4,person,46,143,478,849
4,remote,252,394,304,455
4,chair,-2,350,440,851
4,remote,338,338,387,390
5,person,45,145,477,849
5,remote,250,395,302,456
5,chair,-1,351,448,851
5,cup,337,340,387,387
5,chair,225,613,476,851
6,person,44,147,478,849
6,remote,250,396,301,457
6,chair,-1,355,376,851
6,cup,336,342,386,385
7,person,42,149,478,850
7,remote,247,399,300,459
7,remote,334,345,385,385
7,chair,0,357,427,850
8,person,39,150,478,851
8,remote,245,401,296,459
8,remote,332,346,384,387
8,chair,-2,358,365,851
9,person,37,152,478,850
9,remote,244,402,294,462
9,remote,331,348,381,390
9,chair,-1,358,363,851
10,person,35,153,479,851
10,remote,243,403,293,464
10,chair,-1,360,362,851
10,remote,329,349,379,393
11,person,33,154,479,851
11,remote,242,404,292,466
11,chair,-1,361,360,851
11,remote,328,352,377,394
12,person,33,155,480,850
12,remote,241,405,291,466
12,remote,327,353,376,396
12,chair,0,361,421,850
13,person,32,156,480,850
13,remote,240,407,289,468
13,remote,326,354,376,398
13,chair,-1,362,355,851
13,chair,210,665,478,851
14,person,31,159,480,849
14,remote,239,408,289,468
14,remote,326,355,375,398
14,chair,0,363,472,850
14,hair drier,185,209,334,268
15,person,30,158,481,850
15,remote,238,408,288,470
15,chair,0,363,474,850
15,remote,324,357,374,401
15,hair drier,186,210,333,269
15,chair,209,638,477,851
15,hair drier,236,210,333,269
16,person,29,162,480,850
16,remote,238,410,286,470
16,chair,0,364,474,850
16,hair drier,186,212,333,271
16,chair,208,642,478,851
16,remote,324,359,374,404
17,person,28,163,480,849
17,remote,237,412,285,471
17,chair,206,634,478,851
17,chair,0,365,474,850
17,remote,323,360,373,408
18,person,27,163,480,850
18,remote,236,413,284,475
18,chair,205,633,478,851
18,remote,323,362,372,406
18,chair,0,365,474,851
18,hair drier,185,216,332,275
19,person,27,165,479,850
19,remote,235,415,284,476
19,chair,204,633,478,851
19,chair,0,365,475,851
19,remote,322,364,372,409
19,hair drier,207,217,331,275
20,person,25,167,479,850
20,remote,233,416,282,477
20,remote,321,365,371,411
20,chair,0,366,475,851
20,chair,202,636,477,851
20,cup,321,365,371,411
21,person,24,169,479,850
21,remote,232,418,281,478
21,remote,321,367,370,412
21,chair,0,367,476,851
21,chair,201,639,478,851
22,person,23,170,478,850
22,remote,231,418,280,480
22,remote,320,368,369,414
22,chair,0,366,477,851
23,person,24,171,479,851
23,remote,231,421,279,481
23,remote,320,370,369,415
23,chair,0,367,477,851
24,person,23,173,478,850
24,remote,231,422,279,482
24,remote,320,371,369,416
24,hair drier,181,223,328,280
24,chair,0,368,477,851
25,person,22,174,478,851
25,remote,231,422,279,482
25,remote,319,373,368,418
25,chair,0,368,477,850
26,person,24,176,478,851
26,remote,230,422,279,483
26,remote,319,374,368,419
26,chair,0,369,476,851
27,person,21,177,477,851
27,remote,229,421,278,481
27,remote,319,375,367,419
27,chair,0,369,475,851
28,person,20,178,477,851
28,remote,228,420,277,480
28,remote,318,377,367,422
28,chair,0,375,474,851
29,person,18,179,477,851
29,remote,228,418,276,478
29,remote,319,379,367,424
29,chair,0,375,474,851
30,person,19,180,476,851
30,remote,226,416,276,476
30,remote,319,381,367,427
30,chair,0,375,474,851
31,person,18,181,476,851
31,remote,225,414,275,471
31,remote,321,385,369,430
31,chair,0,376,473,851
32,person,17,183,476,851
32,remote,223,411,273,470
32,cup,321,387,370,435
32,chair,0,376,474,851
33,person,17,183,476,851
33,remote,222,409,273,469
33,remote,323,391,371,439
33,chair,0,377,474,851
34,person,17,183,476,851
34,remote,222,407,273,466
34,chair,0,377,473,851
34,remote,325,395,372,443
34,cup,325,395,372,444
35,person,17,184,476,851
35,remote,222,405,273,463
35,remote,327,398,374,447
35,chair,0,378,473,851
36,person,19,184,476,851
36,remote,222,403,273,461
36,cup,328,402,375,451
36,chair,0,378,473,851
37,person,21,184,477,851
37,remote,223,402,274,460
37,cup,329,404,377,454
37,chair,0,379,473,851
38,person,24,184,477,851
38,remote,225,401,278,457
38,chair,0,379,474,851
38,remote,330,406,378,456
39,person,27,184,477,851
39,remote,227,400,279,456
39,chair,0,376,475,851
